602 3
0.153672 0.999904 0.347531 
0.471264 0.964819 0.453466 
1.000000 0.441118 0.039531 
0.141392 0.851397 0.862309 
0.179003 0.753634 0.887507 
0.863673 0.342376 0.609917 
0.603425 0.432281 0.774830 
0.320435 0.999180 0.362240 
0.712368 0.190760 0.930406 
0.876225 0.290005 0.676824 
0.303050 0.753810 0.809180 
0.987963 0.849770 0.002067 
0.999783 0.229020 0.352895 
0.707325 0.867980 0.214420 
0.995571 0.329084 0.391670 
0.270787 0.603301 0.963174 
0.606036 0.717140 0.531608 
0.599494 0.504075 0.805720 
0.960384 0.129943 0.821943 
0.799605 0.413875 0.624120 
0.999261 0.816487 0.108942 
0.503995 0.457974 0.952194 
0.365665 0.528890 0.991738 
0.994829 0.109694 0.660560 
0.192366 0.998876 0.549199 
0.745794 0.334768 0.789020 
0.795659 0.434062 0.589388 
0.518784 0.972709 0.349861 
0.007078 0.774085 0.984198 
0.262350 0.786125 0.760566 
0.674680 0.924628 0.232800 
0.715876 0.182368 0.908179 
0.350864 0.690610 0.795999 
0.317943 0.327795 0.999970 
0.711900 0.682729 0.432727 
0.820237 0.019492 0.998446 
0.461035 0.715387 0.669185 
0.872094 0.115818 0.945104 
0.721462 0.684080 0.403235 
0.696270 0.999749 0.061617 
0.424044 0.793838 0.617969 
0.171389 0.966910 0.711594 
0.149720 0.770093 0.885663 
0.408126 0.834415 0.619243 
0.694955 0.703261 0.537932 
0.581089 0.182969 0.992086 
0.983841 0.496787 0.297114 
0.908588 0.167763 0.778722 
0.747799 0.606440 0.464167 
0.585794 0.120397 0.995615 
0.024669 0.797365 0.978229 
0.484506 0.998591 0.195082 
0.066627 0.771250 0.977970 
0.495527 0.999327 0.187196 
0.453873 0.462985 0.895090 
0.883724 0.564616 0.453402 
0.562064 0.411917 0.888337 
0.447867 0.687438 0.736996 
0.842989 0.545527 0.472131 
0.745503 0.900831 0.196252 
0.712878 0.506645 0.637190 
0.744396 0.665931 0.385838 
0.208971 0.837864 0.833683 
0.990731 0.133353 0.642393 
0.355206 0.873601 0.616440 
0.492248 0.626516 0.879726 
0.998792 0.361435 0.308029 
0.226190 0.595365 0.970390 
0.996521 0.159359 0.634018 
0.847173 0.388983 0.667328 
0.845335 0.768639 0.221855 
0.115846 0.764400 0.921807 
0.985850 0.165561 0.648579 
0.775552 0.514337 0.517342 
0.401696 0.544648 0.909741 
0.494436 0.981318 0.328266 
0.258141 0.857465 0.716342 
0.471919 0.645211 0.739020 
0.169025 0.739144 0.929973 
0.562917 0.399072 0.872080 
0.866813 0.507436 0.463384 
0.472721 0.973764 0.343851 
0.574331 0.657591 0.583094 
0.184601 0.758319 0.882254 
0.139131 0.999686 0.625060 
0.535197 0.831463 0.505935 
0.414725 0.914721 0.515689 
0.999292 0.146295 0.568909 
0.190755 0.608833 0.996341 
0.539828 0.302293 0.960543 
0.274272 0.651173 0.854054 
0.937788 0.825661 0.064924 
0.486991 0.678606 0.715366 
0.936709 0.655879 0.241874 
0.424059 0.694400 0.750798 
0.831718 0.566559 0.484660 
0.404131 0.523028 0.909732 
0.657366 0.367805 0.863071 
0.419125 0.477405 0.881587 
0.998327 0.403638 0.234764 
0.507164 0.211304 0.989856 
0.716640 0.444892 0.646623 
0.620895 0.999803 0.134018 
0.540725 0.646293 0.660404 
0.765209 0.856656 0.213566 
0.731722 0.180482 0.944814 
0.978958 0.426029 0.334697 
0.078094 0.786822 0.941880 
0.510131 0.322255 0.930332 
0.573231 0.084439 0.997990 
0.347615 0.837099 0.625081 
0.921540 0.950526 0.023506 
0.611945 0.260384 0.944070 
0.713918 0.450664 0.745194 
0.133149 0.874851 0.884635 
0.745469 0.533625 0.613582 
0.992022 0.604841 0.292208 
0.448378 0.772010 0.660413 
0.409264 0.918596 0.540564 
